Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_CHEAPEST,Cheapest brand of cigarettes (20 sticks),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_PREMIUM,Premium brand of cigarettes (20 sticks),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_DISPOSABLE_CHEAPEST,Cheapest brand of e-liquid of a closed disposable ENDS/ENNDS system (1ml),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_RECHARGABLE_CHEAPEST,Cheapest brand of e-liquid of a closed rechargeable ENDS/ENNDS system (1ml),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,Most sold brand of heated tobacco products (20 sticks),,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_OTHERSMOKED_MOSTSOLD,Most sold brand of other smoked tobacco,,,
TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_SMOKELESS_MOSTSOLD,Most sold brand of smokeless tobacco (20g),,,
