Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9017693,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,PLW,WPR,Western Pacific,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,4.65,4.65,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
9020782,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,TTO,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,2.23,2.23,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
9024770,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,SWZ,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,7.05,7.05,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
9027738,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,JAM,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_cat,,,,,,,No change,,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
9042118,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,SVK,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_trend_growth_rate,,,,,,,0.77,0.77,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
9049155,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,BIH,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,5.66,5.66,,,,2025-08-15T15:17:19Z,2018,2018-01-01,2018-12-31
9049355,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,DZA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_cat,,,,,,,No change,,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
9058615,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,GRD,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,3.33,3.33,,,,2025-08-15T15:17:19Z,2014,2014-01-01,2014-12-31
9063106,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,CMR,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,7.06,7.06,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
9063271,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,HND,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,9.36,9.36,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
9071624,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,GBR,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,2.56,2.56,,,,2025-08-15T15:17:19Z,2018,2018-01-01,2018-12-31
9077070,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,1.53,1.53,,,,2025-08-15T15:17:19Z,2016,2016-01-01,2016-12-31
9088522,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,GHA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_trend_growth_rate,,,,,,,3.38,3.38,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
9088832,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,NOR,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,1.75,1.75,,,,2025-08-15T15:17:19Z,2018,2018-01-01,2018-12-31
9094020,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,GHA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_cat,,,,,,,No change,,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
9094560,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_cat,,,,,,,Yes,,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
9096610,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,SLV,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,6.85,6.85,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
9099973,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,SWE,EUR,Europe,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,1.43,1.43,,,,2025-08-15T15:17:19Z,2016,2016-01-01,2016-12-31
